season,player_id,player,kind,touched,yards,epa,fumble_lost
2015,00-0027006,K.Britt,target,1,26.0,1.6134,0
2015,00-0031391,T.Mason,rush,1,3.0,-0.2017,0
2015,00-0030525,T.Austin,target,1,7.0,0.0035,0
2015,00-0027061,J.Cook,target,1,7.0,-0.9781,0
2015,00-0030496,L.Bell,target,1,20.0,1.2055,0
2015,00-0030496,L.Bell,rush,1,0.0,-0.5298,0
2015,00-0032241,T.Gurley,rush,1,2.0,-0.4802,0
2015,00-0032241,T.Gurley,rush,1,1.0,-0.5552,0
2015,00-0029795,B.Cunningham,target,1,6.0,-0.5317,0
2015,00-0030496,L.Bell,rush,1,6.0,0.0242,0
2015,00-0030496,L.Bell,rush,1,2.0,-0.2196,0
2015,00-0027793,A.Brown,target,0,0.0,-1.6342,0
2015,00-0031391,T.Mason,rush,1,-4.0,-1.1421,0
2015,00-0027006,K.Britt,target,1,10.0,0.3896,0
2015,00-0029614,C.Givens,rush,1,24.0,1.4834,0
2015,00-0031391,T.Mason,rush,1,-2.0,-0.8122,0
2015,00-0027061,J.Cook,target,0,0.0,-0.7677,0
2015,00-0029567,N.Foles,rush,1,10.0,-0.1116,0
2015,00-0030496,L.Bell,rush,1,23.0,1.4653,0
2015,00-0030496,L.Bell,rush,1,3.0,-0.3207,0
2015,00-0030460,M.Wheaton,target,1,4.0,-0.4004,0
2015,00-0030496,L.Bell,target,1,4.0,-0.8586,0
2015,00-0027985,L.Kendricks,target,0,0.0,-4.1957,0
2015,00-0030496,L.Bell,rush,1,2.0,-0.5337,0
2015,00-0030496,L.Bell,rush,1,-1.0,-1.5599,0
2015,00-0026983,D.Heyward-Bey,target,1,7.0,0.9312,0
2015,00-0027006,K.Britt,target,1,13.0,0.5359,0
2015,00-0027061,J.Cook,target,0,0.0,-0.2652,0
2015,00-0027006,K.Britt,target,1,5.0,-0.2964,0
2015,00-0027006,K.Britt,target,0,0.0,-0.7139,0
2015,00-0027006,K.Britt,target,0,0.0,-1.8365,0
2015,00-0025394,A.Peterson,rush,1,2.0,-0.2289,0
2015,00-0030113,C.Johnson,target,1,9.0,1.0958,0
2015,00-0025394,A.Peterson,rush,1,2.0,-0.2838,0
2015,00-0025394,A.Peterson,rush,1,5.0,-0.0409,0
