season,week,game_id,team,opp,home,plays,yards,top_seconds,turnovers,points_for,points_against,win
2016,7,2016_07_IND_TEN,IND,TEN,0,65,422.0,1950,0,34,26,1
2016,7,2016_07_IND_TEN,TEN,IND,1,69,331.0,1840,1,26,34,0
2016,7,2016_07_MIN_PHI,MIN,PHI,0,74,282.0,1928,3,10,21,0
2016,7,2016_07_MIN_PHI,PHI,MIN,1,55,241.0,1672,5,21,10,1
2016,7,2016_07_NE_PIT,NE,PIT,0,55,362.0,1651,1,27,16,1
2016,7,2016_07_NE_PIT,PIT,NE,1,69,375.0,1949,2,16,27,0
2016,7,2016_07_NO_KC,KC,NO,1,52,326.0,1642,0,27,21,1
2016,7,2016_07_NO_KC,NO,KC,0,71,463.0,1958,2,21,27,0
2016,7,2016_07_NYG_LA,LA,NYG,1,76,345.0,2103,4,10,17,0
2016,7,2016_07_NYG_LA,NYG,LA,0,57,232.0,1497,1,17,10,1
2016,7,2016_07_OAK_JAX,JAX,LV,1,60,344.0,1593,2,16,33,0
2016,7,2016_07_OAK_JAX,LV,JAX,0,71,344.0,2007,1,33,16,1
2016,7,2016_07_SD_ATL,ATL,LAC,1,63,386.0,1830,1,30,33,0
2016,7,2016_07_SD_ATL,LAC,ATL,0,75,426.0,2129,2,33,30,1
2016,7,2016_07_SEA_ARI,ARI,SEA,1,90,443.0,2781,0,6,6,0
2016,7,2016_07_SEA_ARI,SEA,ARI,0,57,257.0,1719,0,6,6,0
2016,7,2016_07_TB_SF,SF,TB,1,66,273.0,1571,2,17,34,0
2016,7,2016_07_TB_SF,TB,SF,0,73,513.0,2029,2,34,17,1
2016,7,2016_07_WAS_DET,DET,WAS,1,51,344.0,1501,0,20,17,1
2016,7,2016_07_WAS_DET,WAS,DET,0,70,413.0,2099,2,17,20,0
2016,8,2016_08_ARI_CAR,ARI,CAR,0,65,340.0,1752,2,20,30,0
2016,8,2016_08_ARI_CAR,CAR,ARI,1,64,349.0,1848,1,30,20,1
2016,8,2016_08_DET_HOU,DET,HOU,0,56,289.0,1562,0,13,20,0
2016,8,2016_08_DET_HOU,HOU,DET,1,63,269.0,2038,1,20,13,1
